Order,Date,Price,FirstName,LastName,Destination,PickUp,Type
0,11-09-2019 08:16:13,65,Lisa,Hauge,Guldkysten,Zanzibar,Type 3
1,27-07-2019 19:54:18,15,Andreas,Kluw,Tanger,Tripoli,Type 1
2,09-07-2019 17:52:17,50,Andreas,Svenningsen,Suakin,Dragebjerget,Type 1
3,13-01-2019 16:59:48,85,Sofie,Memborg,Tanger,Sierra Leone,Type 4
4,14-07-2019 19:30:09,85,Alexander,Hegelund,Omdurmant,Tunis,Type 2
5,16-06-2019 01:31:33,90,Rasmus,Meynan,Amatave,Guldkysten,Type 4
6,13-10-2019 07:34:03,100,Helene,Hegelund,Hvalbugten,Bahr El Ghazal,Type 4
7,18-06-2019 14:42:08,45,Andreas,Svenningsen,Tanger,Bahr El Ghazal,Type 2
8,10-07-2019 14:11:52,65,Benjamin,Trier,Hvalbugten,Kabalo,Type 1
9,07-02-2019 18:51:46,40,Rasmus,Ljungqvist,Dakar,St. Helena,Type 4
10,02-07-2019 07:02:06,65,Thomas,Demant,Cairo,Tripoli,Type 1
11,12-01-2019 23:46:59,10,Jonas,Ljungqvist,Guldkysten,Dakar,Type 5
12,10-11-2019 11:30:00,60,Alexander,Demant,Kap st. Marie,Tripoli,Type 4
13,03-10-2019 10:03:38,25,Julius,Jakobsen,Kabalo,Victoriasoen,Type 5
14,19-06-2019 18:12:20,55,Benjamin,Steffensen,Congo,Amatave,Type 1
15,11-01-2019 00:16:33,15,Thomas,Ljungqvist,Kap Guardafui,Hvalbugten,Type 5
16,26-05-2019 23:11:54,45,Zeki,Meynan,Mocambique,Bahr El Ghazal,Type 3
17,24-03-2019 09:22:32,70,Steven,Kireli,Mocambique,Addis Abeba,Type 1
18,20-04-2019 00:05:36,100,Mark,Demant,Dragebjerget,Congo,Type 4
19,19-07-2019 00:31:14,45,Benjamin,Lafi,Victoria Faldene,Bahr El Ghazal,Type 3
